Date,Value
2022-07-19,13783982.0
2022-07-20,13873957.0
2022-07-21,13930523.0
2022-07-22,13979902.0
2022-07-23,14004243.0
2022-07-24,14313686.0
2022-07-25,14520577.0
2022-07-26,14642911.0
2022-07-27,14537528.0
2022-07-28,14504494.0
2022-07-29,14459406.0
2022-07-30,14451994.0
2022-07-31,14567690.0
2022-08-01,14502859.0
2022-08-02,14547223.0
2022-08-03,14410928.0
2022-08-04,14704067.0
2022-08-05,14551628.0
2022-08-06,14573204.0
2022-08-07,14213498.0
2022-08-08,14070077.0
2022-08-09,13985876.0
2022-08-10,13811761.0
2022-08-11,13674185.0
2022-08-12,13501889.0
2022-08-13,13336038.0
2022-08-14,12684610.0
2022-08-15,12529887.0
2022-08-16,12462923.0
2022-08-17,12288809.0
2022-08-18,11809850.0
2022-08-19,11742117.0
2022-08-20,11488413.0
2022-08-21,11161287.0
2022-08-22,11080611.0
2022-08-23,11017899.0
2022-08-24,10900058.0
2022-08-25,10780858.0
2022-08-26,10685401.0
2022-08-27,10388980.0
2022-08-28,10289713.0
2022-08-29,10225960.0
2022-08-30,10095196.0
2022-08-31,9940081.0
2022-09-01,9707912.0
2022-09-02,9483410.0
2022-09-03,9235648.0
2022-09-04,8929865.0
2022-09-05,8732819.0
2022-09-06,8566664.0
2022-09-07,8306905.0
2022-09-08,8123724.0
2022-09-09,7800280.0
2022-09-10,7679783.0
2022-09-11,7499771.0
2022-09-12,7349795.0
2022-09-13,7284177.0
2022-09-14,7191948.0
2022-09-15,7033642.0
2022-09-16,6860566.0
2022-09-17,6708657.0
2022-09-18,6742965.0
2022-09-19,6650795.0
2022-09-20,6582791.0
2022-09-21,6536335.0
2022-09-22,6422128.0
2022-09-23,6506672.0
2022-09-24,6606027.0
2022-09-25,6333233.0
2022-09-26,6309757.0
2022-09-27,6244860.0
2022-09-28,6247124.0
2022-09-29,6235231.0
2022-09-30,6342980.0
2022-10-01,6429591.0
2022-10-02,6204872.0
2022-10-03,6153250.0
2022-10-04,6117035.0
2022-10-05,6233905.0
2022-10-06,6301434.0
2022-10-07,6388446.0
2022-10-08,6444486.0
2022-10-09,6418257.0
2022-10-10,6377476.0
2022-10-11,6455955.0
2022-10-12,6470247.0
2022-10-13,6504473.0
2022-10-14,6451166.0
2022-10-15,6461988.0
2022-10-16,6453106.0
2022-10-17,6469325.0
2022-10-18,6533347.0
2022-10-19,6477310.0
2022-10-20,6395673.0
2022-10-21,6204106.0
2022-10-22,6241723.0
2022-10-23,6125497.0
2022-10-24,6111168.0
2022-10-25,5997725.0
2022-10-26,5831470.0
2022-10-27,5653427.0
2022-10-28,5792726.0
2022-10-29,5594743.0
2022-10-30,5471878.0
2022-10-31,5446697.0
2022-11-01,5352741.0
2022-11-02,5141612.0
2022-11-03,4955278.0
2022-11-04,5192899.0
2022-11-05,4945210.0
2022-11-06,4932642.0
2022-11-07,4978326.0
2022-11-08,4877883.0
2022-11-09,4826236.0
2022-11-10,4814728.0
2022-11-11,4869615.0
2022-11-12,4870307.0
2022-11-13,4906837.0
2022-11-14,4994368.0
2022-11-15,5016598.0
2022-11-16,5080836.0
2022-11-17,5058534.0
2022-11-18,5149041.0
2022-11-19,5183214.0
2022-11-20,5264599.0
2022-11-21,5288105.0
2022-11-22,5413786.0
2022-11-23,5432077.0
2022-11-24,5378153.0
2022-11-25,5530154.0
2022-11-26,5625266.0
2022-11-27,5726582.0
2022-11-28,5735548.0
2022-11-29,5787660.0
2022-11-30,5874683.0
2022-12-01,6073899.0
2022-12-02,6112801.0
2022-12-03,6194154.0
2022-12-04,6260133.0
2022-12-05,6325259.0
2022-12-06,6361417.0
2022-12-07,6536307.0
2022-12-08,6754454.0
2022-12-09,7317646.0
2022-12-10,7865264.0
2022-12-11,8641727.0
2022-12-12,9630557.0
2022-12-13,10702675.0
2022-12-14,12019005.0
2022-12-15,13812900.0
2022-12-16,16366472.0
2022-12-17,19544427.0
2022-12-18,23695179.0
2022-12-19,28825321.0
2022-12-20,34776170.0
2022-12-21,41177708.0
2022-12-22,48147531.0
2022-12-23,54067116.0
2022-12-24,59225365.0
